API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVRegion,ENVBasin,ENVPlay,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,ENVFracJobType,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,Proppant_LBS,TotalFluidPumped_BBL,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProdDate,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,FirstProdYear
42-227-37538,4222737538,42-227-37538-00,4.22274E+11,42-227-37538-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37538,1,S WILKINSON 182,US,TX,HOWARD,44968,S WILKINSON,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2013/11/1,32.239418,-101.671912,32.239418,-101.671912,10350,10350,8,SPRABERRY,T&P RR CO,34,1341,,18,1N,,,,2013,2013-Q4,Nov-13,2468,ACTUAL,2455,ACTUAL,,2013/7/3,2013/6/26,2013/9/2,2013/9/15,2013/9/15,2013/11/5,HYBRID CROSSLINKER/LINEAR GEL HC,8133,10282,2149,,558921,26260,2014/5/16,,113,,677,92,,125,,87,,,,,PUMPING,38,,6688,,0,,40127,,6688,,7892,12733,,3074,,76401,,12221,,13125,18986,,11884,,113914,,17005,,22957,23101,,18148,,138606,,20076,,30632,42861,,56482,,257165,,33447,,58330,,2025/3/1,137,16333,,14731,,98001,,13878,,71408,110557,,177401,,663339,,80990,,239215,137,2025/3/1,13878,14731,71408,28900,30703,23783,134046,73,2190,2013
42-227-37766,4222737766,42-227-37766-00,4.22274E+11,42-227-37766-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37766,1,S WILKINSON 184,US,TX,HOWARD,44968,S WILKINSON,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/3/1,32.232975,-101.665751,32.232975,-101.665751,10420,10420,8,SPRABERRY,T&P RR CO,34,1341,,18,1N,,,,2014,2014-Q1,Mar-14,2476,ACTUAL,2463,ACTUAL,,2013/12/18,2013/12/5,2014/1/28,2014/2/14,2014/2/14,2014/3/20,,8020,10237,2217,,690063,32416,2014/5/26,,145,,872,116,,176,,185,,,,,PUMPING,38,,8002,,9802,,48010,,6368,,10225,14694,,23345,,88167,,10804,,17849,19132,,31120,,114791,,13945,,23253,22112,,36852,,132672,,15970,,26738,42305,,85845,,253827,,27997,,47501,,2025/3/1,133,5848,,6132,,35088,,4970,,8809,76851,,158613,,461109,,50416,,86873,133,2025/3/1,4970,5268,8809,10479,11255,8603,15244,66,3146,2014
42-227-37795,4222737795,42-227-37795-00,4.22274E+11,42-227-37795-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37795,1,LINDSAY CQ 57,US,TX,HOWARD,43104,LINDSAY CQ,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,LIQUIDS RICH GAS (10-40% WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/3/1,32.285171,-101.658645,32.285171,-101.658645,10366,10366,8,SPRABERRY,T&P RR CO,34,387,,5,1N,,,,2014,2014-Q1,Mar-14,2506,ACTUAL,2485,ACTUAL,,2014/1/2,2013/12/13,2014/1/26,2014/2/10,2014/2/10,2014/3/14,,7340,10177,2837,,914715,36317,2014/5/31,,128,,770,76,,314,,141,,,,,PUMPING,38,,8856,,26236,,53138,,4484,,7926,15406,,49205,,92434,,7205,,11610,21185,,71958,,127112,,9192,,14305,26065,,92095,,156390,,10716,,16375,64428,,249070,,386570,,22917,,33047,,2020/7/1,77,5608,,31304,,33649,,1953,,3624,142718,,581942,,856307,,45728,,65189,133,2025/3/1,126,2817,182,7959,37689,1678,2425,32,12726,2014
42-227-37805,4222737805,42-227-37805-00,4.22274E+11,42-227-37805-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37805,1,WILKINSON RANCH 334,US,TX,HOWARD,40510,WILKINSON RANCH,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/5/1,32.320838,-101.679002,32.320838,-101.679002,10569,10569,8,SPRABERRY,BAUER & COCKRELL,A,582,,33,,,,,2014,2014-Q2,May-14,2547,ACTUAL,2532,ACTUAL,,2014/1/13,2013/12/19,2014/3/15,2014/3/29,2014/3/29,2014/5/12,HYBRID CROSSLINKER/LINEAR GEL HC,8298,10350,2052,,685738,44379,2014/6/1,,178,,1067,132,,275,,322,,,,,PUMPING,38,,7387,,22599,,44321,,3620,,3002,14991,,45963,,89944,,7330,,6214,22221,,68073,,133325,,10875,,9428,28358,,88795,,170151,,13559,,11978,61424,,203846,,368546,,27450,,28015,,2014/6/1,2,2715,,8297,,16288,,1417,,1171,114484,,397071,,686906,,48306,,81061,131,2025/3/1,138,1992,833,4320,18631,1215,6784,42,8220,2014
42-227-37862,4222737862,42-227-37862-00,4.22274E+11,42-227-37862-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37862,1,TIDWELL 4124,US,TX,HOWARD,42027,TIDWELL,OCCIDENTAL,OXY USA INC.,THREE RIVERS,CUDD,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/5/1,32.115011,-101.625515,32.114962,-101.625505,9900,9900,8,SPRABERRY,T&P RR CO,34,423,,41,1S,,,,2014,2014-Q2,May-14,2507,ACTUAL,2493,ACTUAL,ACTUAL,2014/2/20,2014/1/31,2014/3/27,2014/4/7,2014/4/7,2014/5/8,HYBRID CROSSLINKER/LINEAR GEL HC,7944,10234,2290,,967780,49561,2014/5/18,20,107,,642,91,,97,,769,,1100,560,,PUMPING,43,,2766,,4080,,16597,,2086,,7017,6148,,10827,,36891,,4344,,14704,10423,,18127,,62536,,7402,,25238,13457,,23235,,80744,,9585,,32842,22713,,41547,,136278,,15788,,55464,,2014/12/1,8,2229,,3546,,13375,,1638,,5643,38332,,82837,,229994,,24526,,94742,132,2025/4/1,17,85,97,874,2775,412,2251,64,3377,2014
42-227-37876,4222737876,42-227-37876-00,4.22274E+11,42-227-37876-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37876,1,CHERRY 2312,US,TX,HOWARD,45344,CHERRY,OCCIDENTAL,OXY USA INC.,THREE RIVERS,CUDD,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/7/1,32.191948,-101.497573,32.192013,-101.497186,9797,9800,8,SPRABERRY,T&P RR CO,33,369,,23,1S,,,,2014,2014-Q3,Jul-14,2616,ACTUAL,2602,ACTUAL,ACTUAL,2014/3/5,2014/2/8,2014/6/11,2014/6/26,2014/6/26,2014/7/21,HYBRID CROSSLINKER/LINEAR GEL HC,7648,9911,2263,,911260,45034,2014/8/5,29,171,,1025,139,,190,,390,,860,210,,PUMPING,43,,2980,,5913,,17878,,1994,,5202,7057,,18764,,42344,,3930,,10008,9847,,26853,,59081,,5371,,13539,12088,,34560,,72527,,6328,,15852,24015,,84197,,144090,,9982,,24231,,2014/8/1,2,2304,,5303,,13824,,1420,,3759,39444,,136553,,236667,,16686,,36157,130,2025/4/1,11,100,15,1399,3877,753,1094,42,8184,2014
42-227-37966,4222737966,42-227-37966-00,4.22274E+11,42-227-37966-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37966,1,WILKINSON RANCH 335,US,TX,HOWARD,40510,WILKINSON RANCH,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/8/1,32.323903,-101.670871,32.323923,-101.670724,10519,10519,8,SPRABERRY,BAUER & COCKRELL,A,582,,33,,,,,2014,2014-Q3,Aug-14,2564,ACTUAL,2546,ACTUAL,ACTUAL,2014/5/20,2014/4/7,2014/5/23,2014/6/10,2014/6/10,2014/8/15,,8218,10348,2130,,833424,54915,2014/10/12,,187,,1123,153,,205,,471,,,,,PUMPING,38,,11037,,18252,,66220,,7995,,22832,16179,,32685,,97072,,10731,,28130,20545,,46170,,123268,,12850,,32296,24175,,58209,,145047,,14473,,35534,47319,,126574,,283916,,26224,,60573,,2014/9/1,2,6001,,7890,,36007,,4686,,14426,90212,,237673,,541271,,50600,,128129,128,2025/3/1,263,1144,951,4024,10762,2230,7871,56,4697,2014
42-227-37988,4222737988,42-227-37988-00,4.22274E+11,42-227-37988-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-37988,1,WILKINSON RANCH 3310,US,TX,HOWARD,40510,WILKINSON RANCH,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/10/1,32.325766,-101.676359,32.325766,-101.676359,10569,10569,8,SPRABERRY,BAUER & COCKRELL,A,582,,33,,,,,2014,2014-Q4,Oct-14,2561,ACTUAL,2541,ACTUAL,,2014/6/16,2014/4/16,2014/8/20,2014/9/3,2014/9/3,2014/10/17,,8210,10393,2183,,747440,46375,2014/11/7,64,439,,2631,319,,717,,1051,,1390,520,,PUMPING,38,,8804,,23613,,52822,,4868,,11651,14167,,42285,,85005,,7120,,15473,18979,,60398,,113874,,8913,,18632,22916,,74138,,137496,,10560,,21666,46664,,157903,,279987,,20347,,43053,,2014/11/1,2,4703,,10117,,28218,,3017,,8618,79329,,269671,,475976,,34384,,101858,126,2025/3/1,100,970,872,2441,9308,890,7197,43,7843,2014
42-227-38003,4222738003,42-227-38003-00,4.22274E+11,42-227-38003-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38003,1,GREEN 431,US,TX,HOWARD,42798,GREEN,OCCIDENTAL,OXY USA INC.,THREE RIVERS,CUDD,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2014/10/1,32.218085,-101.546056,32.21813,-101.546004,7859,7860,8,SPRABERRY,T&P RR CO,33,1069,,4,1S,,,,2014,2014-Q4,Oct-14,2545,ACTUAL,2531,ACTUAL,ACTUAL,2014/5/31,2014/4/24,2014/9/11,2014/9/25,2014/9/25,2014/10/23,HYBRID CROSSLINKER/LINEAR GEL HC,7887,9991,2104,,934660,41112,2014/11/16,25,108,,647,84,,143,,120,,120,150,,PUMPING,43,,3219,,6404,,19311,,2151,,3131,4541,,9042,,27243,,3034,,4439,5743,,11790,,34459,,3778,,5539,6919,,14572,,41512,,4490,,6589,14776,,32643,,88657,,9336,,13657,,2014/11/1,2,1877,,3165,,11262,,1350,,1941,30922,,63555,,185534,,20330,,28982,127,2025/4/1,217,441,291,3370,4196,2670,3590,66,3126,2014
42-227-38015,4222738015,42-227-38015-00,4.22274E+11,42-227-38015-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38015,1,ADAMS 4244,US,TX,HOWARD,40771,ADAMS,OCCIDENTAL,OXY USA INC.,THREE RIVERS,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,ATOKA,2015/3/1,32.463558,-101.644142,32.463558,-101.644142,10650,10650,8,SPRABERRY,T&P RR CO,33,1236,,42,3N,,,,2015,2015-Q1,Mar-15,2739,ACTUAL,2725,ACTUAL,,2014/6/9,2014/5/7,2014/11/27,2014/12/16,2014/12/16,2015/3/17,CROSSLINK HC,7807,10512,2705,,1039337,27948,2015/4/25,,88,,527,82,,35,,430,,,,,PUMPING,43,,1484,,1539,,8903,,1227,,3768,5039,,7194,,30234,,3840,,10745,8212,,13098,,49272,,6029,,16630,9969,,14845,,59815,,7495,,20599,22367,,32155,,134200,,17008,,47340,,2015/9/1,5,1672,,3449,,10030,,1177,,3231,52986,,83059,,317914,,39142,,115483,122,2025/4/1,80,695,278,2348,5263,1471,5059,74,2122,2015
42-227-38015,4222738015,42-227-38015-00,4.22274E+11,42-227-38015-00-01,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38015,2,ADAMS 4244,US,TX,HOWARD,40771,ADAMS,OCCIDENTAL,OXY USA INC.,THREE RIVERS,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,ATOKA,2015/3/1,32.463558,-101.644142,32.463558,-101.644142,10650,10650,8,SPRABERRY,T&P RR CO,33,1236,,42,3N,,,,2015,2015-Q1,Mar-15,2739,ACTUAL,2725,ACTUAL,,2014/6/9,2014/5/7,2014/11/27,2014/12/16,2014/12/16,2017/6/22,SLICKWATER,6985,10512,3527,,1039337,14178,2017/8/6,,88,,525,77,,63,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
42-227-38071,4222738071,42-227-38071-00,4.22274E+11,42-227-38071-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38071,1,ROBB 13 2,US,TX,HOWARD,46029,ROBB 13,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2015/2/1,32.163837,-101.674503,32.163837,-101.674503,10539,10539,8,SPRABERRY,T&P RR CO,35,517,,13,1S,,,,2015,2015-Q1,Feb-15,2485,ACTUAL,2472,ACTUAL,,2014/6/30,2014/5/19,2014/12/18,2014/12/30,2014/12/30,2015/2/18,HYBRID CROSSLINKER/LINEAR GEL HC,8002,10415,2413,,1017861,43909,2015/3/20,,156,,937,130,,157,,229,,,,,PUMPING,38,,7421,,8307,,44527,,6037,,8188,16417,,21355,,98499,,12857,,15430,21279,,30854,,127675,,16137,,18995,28161,,42330,,168965,,21106,,24524,50484,,94290,,302904,,34769,,41066,,2015/3/1,2,3788,,4953,,22727,,3022,,5038,88567,,161137,,531400,,61711,,91126,122,2025/3/1,193,444,491,3475,5809,2506,6142,70,2611,2015
42-329-38135,4232938135,42-329-38135-00,4.23294E+11,42-329-38135-00-00,4.23294E+13,8.4042E+14,8.40421E+14,42-329-38135,1,SOUTH CURTIS RANCH 913,US,TX,MIDLAND,40691,SOUTH CURTIS RANCH,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,WOLFCAMP,2013/3/1,32.063587,-102.137451,32.063477,-102.137302,10619,10620,8,SPRABERRY,T&P RR CO,39,80,,9,1S,,,,2013,2013-Q1,Mar-13,2835,ACTUAL,2819,ACTUAL,ACTUAL,2012/6/22,2012/6/14,2013/1/6,2013/1/20,2013/1/20,2013/3/27,CROSSLINK HC,8279,10607,2328,,830480,12772,2013/3/28,,79,,474,72,,42,,240,,80,,,PUMPING,45,,1844,,2862,,11061,,1366,,2030,3788,,6107,,22730,,2771,,4077,5518,,8601,,33108,,4085,,5952,7040,,10739,,42242,,5251,,7583,15916,,20966,,95494,,12421,,16769,,2021/11/1,105,831,,1388,,4985,,782,,1098,56520,,63279,,339118,,45973,,65526,146,2025/4/1,158,596,457,3537,6571,2442,6374,81,1376,2013
42-329-38135,4232938135,42-329-38135-00,4.23294E+11,42-329-38135-00-01,4.23294E+13,8.4042E+14,8.40421E+14,42-329-38135,2,SOUTH CURTIS RANCH 913,US,TX,MIDLAND,40691,SOUTH CURTIS RANCH,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,WOLFCAMP,2013/3/1,32.063587,-102.137451,32.063477,-102.137302,10619,10620,8,SPRABERRY,T&P RR CO,39,80,,9,1S,,,,2013,2013-Q1,Mar-13,2835,ACTUAL,2819,ACTUAL,ACTUAL,2012/6/22,2012/6/14,2013/1/6,2013/1/20,2013/1/20,2023/3/17,,8279,10607,2328,,,,2023/4/9,,23,,138,21,,12,,47,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
42-227-38266,4222738266,42-227-38266-00,4.22274E+11,42-227-38266-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38266,1,S WILKINSON 191,US,TX,HOWARD,44968,S WILKINSON,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2015/3/1,32.243777,-101.655128,32.243782,-101.654984,10199,10200,8,SPRABERRY,T&P RR CO,34,390,,19,1N,,,,2015,2015-Q1,Mar-15,2478,ACTUAL,2462,ACTUAL,ACTUAL,2014/9/25,2014/9/5,2015/1/8,2015/1/20,2015/1/20,2015/3/6,SLICKWATER HC,7973,10188,2215,,835811,51151,2015/4/17,,116,,693,94,,129,,535,,,,,PUMPING,38,,4265,,6203,,25591,,3231,,10874,6943,,10733,,41657,,5154,,14268,10268,,15192,,61607,,7736,,18890,13460,,20397,,80758,,10060,,23105,25790,,45001,,154740,,18290,,38829,,2025/3/1,121,4575,,7341,,27449,,3351,,9930,52202,,108888,,313209,,34053,,78952,121,2025/3/1,3351,7341,9930,8414,15474,5835,17202,65,3198,2015
42-227-38387,4222738387,42-227-38387-00,4.22274E+11,42-227-38387-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38387,1,STONE 38 3,US,TX,HOWARD,43047,STONE 38,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2015/5/1,32.10462,-101.687906,32.104627,-101.687651,9850,9851,8,SPRABERRY,T&P RR CO,35,1418,,38,1S,,,,2015,2015-Q2,May-15,2569,ACTUAL,2555,ACTUAL,ACTUAL,2014/11/13,2014/11/12,2015/3/30,2015/4/10,2015/4/10,2015/5/4,HYBRID CROSSLINKER/LINEAR GEL HC,8210,10500,2290,,954670,39424,2015/6/27,,158,,945,125,,195,,270,,,,,PUMPING,38,,7870,,13045,,47220,,5696,,10375,12873,,22769,,77241,,9079,,15931,17061,,30893,,102363,,11912,,20658,20428,,37469,,122570,,14183,,24506,37790,,72389,,226742,,25726,,45220,,2015/6/1,2,3020,,4864,,18117,,2209,,4713,62958,,133882,,377750,,40645,,80729,119,2025/3/1,139,582,407,2918,6646,1811,5161,65,3294,2015
42-227-38405,4222738405,42-227-38405-00,4.22274E+11,42-227-38405-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38405,1,TAYLOR 4731,US,TX,HOWARD,42028,TAYLOR,OCCIDENTAL,OXY USA INC.,THREE RIVERS,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2015/7/1,32.105574,-101.581778,32.10555,-101.581701,10160,10162,8,SPRABERRY,T&P RR CO,34,426,,47,1S,,,,2015,2015-Q3,Jul-15,2507,ACTUAL,2507,ACTUAL,ACTUAL,2014/11/21,2014/11/20,2015/3/24,2015/4/3,2015/4/3,2015/7/3,,7770,10094,2324,,,,2015/9/14,,67,,404,46,,128,,33,,,,,PUMPING,43,,3319,,5126,,19917,,2465,,3547,5880,,10335,,35279,,4157,,6864,8496,,16465,,50977,,5752,,10144,9612,,19297,,57672,,6396,,11520,21208,,46078,,127246,,13528,,23930,,2015/8/1,2,1314,,2233,,7886,,1032,,1347,38155,,80793,,228931,,24690,,38888,118,2025/4/1,111,279,479,2118,3637,1512,6252,65,3272,2015
42-227-38469,4222738469,42-227-38469-00,4.22274E+11,42-227-38469-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38469,1,STRIPLING 48 1,US,TX,HOWARD,46581,STRIPLING 48,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2015/5/1,32.1974,-101.689393,32.197499,-101.689226,8200,8201,8,SPRABERRY,T&P RR CO,35,1239,,48,1N,,,,2015,2015-Q2,May-15,2490,ACTUAL,2474,ACTUAL,ACTUAL,2015/1/27,2015/1/23,2015/3/19,2015/3/30,2015/3/30,2015/6/4,SLICKWATER HC,7340,10321,2981,,1408762,65583,2015/6/12,,105,,631,83,,133,,393,,,,,PUMPING,38,,5927,,8028,,35562,,4589,,62868,13291,,24462,,79746,,9214,,136595,19677,,44250,,118062,,12302,,178127,23251,,55012,,139504,,14082,,198161,39521,,102982,,237124,,22357,,208069,,2015/11/1,7,2999,,9489,,17991,,1980,,35110,77640,,209287,,465841,,42759,,208069,119,2025/3/1,144,1477,0,4480,15931,1825,0,55,4895,2015
42-227-38492,4222738492,42-227-38492-00,4.22274E+11,42-227-38492-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-38492,1,FRYAR DONELSON A 3106WB,US,TX,HOWARD,47622,FRYAR DONELSON A,OCCIDENTAL,OXY USA INC.,OCCIDENTAL PETR,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2015/7/1,32.124135,-101.64846,32.101696,-101.641318,7828,16035,8,SPRABERRY,T&P RR CO,34,418,,31,1S,,,FRYAR DONELSON A,2015,2015-Q3,Jul-15,2526,ACTUAL,2501,ACTUAL,ACTUAL,2015/2/27,2015/2/26,2015/4/14,2015/4/30,2015/4/30,2015/6/23,,8005,15808,7803,7935,,,2015/7/25,,809,104,4853,694,89,689,88,958,123,,,,PUMPING,42,,48267,6186,23099,2960,289601,37114,44417,5692,157735,96727,12396,50675,6494,580361,74377,88281,11314,312848,132886,17030,82922,10627,797318,102181,119066,15259,407212,157103,20134,104050,13335,942616,120802,139761,17911,461901,301791,38676,285403,36576,1810747,232058,254224,32580,642568,82349,2015/8/1,2,18609,2385,14392,1844,111651,14309,17170,2200,69607,498127,63838,565001,72408,2988761,383027,403960,51770,684524,118,2025/4/1,831,882,14,19960,13801,17660,399,81,1399,2015
